phrase,severity,category
I wanna end it idk asap,95,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey tonight,90,Passive ideation - requires attention based on phrasing and urgency
I took too much tbh today,83,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally asap,99,Threat to others - requires attention based on phrasing and urgency
life ain't worth it lowkey right now,95,Imminent self-harm - requires attention based on phrasing and urgency
I took too much ngl tonight,77,Substance crisis - requires attention based on phrasing and urgency
I feel empty ngl soon,94,Imminent self-harm - requires attention based on phrasing and urgency
I took too much fr today,69,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore ngl soon,96,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it ngl today,63,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey tonight,82,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it idk tonight,94,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything literally tonight,90,Passive ideation - requires attention based on phrasing and urgency
I wanna end it fr asap,80,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone idk right now,94,Threat to others - requires attention based on phrasing and urgency
they keep hurting me tbh asap,66,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything lowkey asap,84,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore lowkey today,68,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey right now,66,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me fr today,68,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,92,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it tbh asap,72,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it literally right now,79,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl asap,65,Passive ideation - requires attention based on phrasing and urgency
I took too much lowkey tonight,90,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it idk today,100,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore tbh right now,99,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore ngl right now,88,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore fr today,52,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously soon,74,Substance crisis - requires attention based on phrasing and urgency
I took too much literally right now,94,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey right now,57,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone fr soon,92,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore lowkey today,84,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything tbh soon,98,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr right now,82,Domestic risk - requires attention based on phrasing and urgency
I took too much highkey tonight,84,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey right now,99,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty highkey tonight,67,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything literally right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty seriously asap,82,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,62,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,87,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,82,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything fr today,96,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty idk tonight,94,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything fr tonight,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it ngl tonight,85,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore lowkey asap,81,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,98,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore lowkey soon,63,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it seriously soon,96,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything lowkey right now,69,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore ngl right now,92,Explicit suicidal intent - requires attention based on phrasing and urgency
